age,education,default,housing,loan,campaign,emp.var.rate,y
48,basic.9y,no,yes,no,2,-1.8,no
31,basic.9y,no,yes,no,1,1.4,no
52,professional.course,no,yes,yes,1,-0.1,no
48,university.degree,unknown,yes,no,2,1.4,no
22,high.school,no,yes,no,2,1.4,no
45,basic.9y,no,unknown,unknown,1,1.1,no
50,professional.course,no,yes,no,2,1.4,no
36,basic.9y,no,yes,yes,1,1.1,no
31,basic.9y,unknown,no,yes,3,1.4,no
32,university.degree,no,no,no,4,1.4,no
45,basic.9y,unknown,yes,no,2,-1.8,no
44,basic.6y,unknown,no,no,1,1.4,no
54,high.school,no,no,no,2,1.1,no
37,basic.9y,no,no,no,8,-1.8,no
44,basic.6y,no,no,no,4,-1.8,no
34,basic.4y,no,yes,no,1,1.4,no
38,high.school,no,yes,yes,1,-0.1,no
46,university.degree,no,no,no,2,-1.8,no
40,basic.9y,no,no,yes,2,1.1,no
56,unknown,unknown,no,no,2,1.4,no
56,university.degree,no,no,no,1,-1.8,no
24,professional.course,no,yes,no,2,1.4,no
39,basic.4y,no,yes,no,4,-1.8,no
54,university.degree,unknown,no,no,3,-1.8,no
29,university.degree,no,yes,no,1,-1.8,no
30,basic.9y,unknown,no,no,2,1.1,no
47,basic.4y,no,yes,no,4,1.4,no
71,basic.4y,no,no,no,1,-3.4,no
31,high.school,no,yes,no,1,-1.8,no
38,professional.course,no,yes,yes,3,1.1,no
40,basic.9y,no,yes,no,2,1.4,no
30,unknown,no,yes,no,10,1.4,no
37,high.school,no,yes,no,1,1.1,no
42,basic.6y,unknown,no,no,2,1.1,no
46,university.degree,no,yes,no,4,1.4,no
33,professional.course,no,yes,no,1,1.4,no
48,high.school,unknown,yes,no,2,1.4,no
56,basic.9y,unknown,no,no,3,1.1,no
49,basic.9y,no,yes,no,1,1.1,no
26,high.school,no,yes,no,3,1.1,no
53,high.school,no,no,no,2,-0.1,no
40,professional.course,no,yes,no,1,-1.8,no
38,basic.6y,unknown,yes,no,1,1.4,no
28,basic.6y,unknown,yes,yes,2,1.1,no
53,basic.9y,no,yes,no,5,1.4,no
36,university.degree,no,no,no,1,-3.4,no
49,university.degree,no,yes,no,1,-0.1,no
35,basic.9y,no,yes,no,10,1.1,no
48,basic.4y,unknown,yes,yes,1,-0.1,no
55,university.degree,no,no,no,1,1.1,no
53,basic.4y,no,no,no,1,-0.1,no
32,professional.course,no,yes,no,1,-1.8,no
32,basic.9y,no,no,no,2,1.1,no
41,high.school,no,yes,no,1,1.4,no
35,professional.course,no,yes,no,1,-3.4,no
59,unknown,no,no,no,2,1.1,no
49,professional.course,unknown,unknown,unknown,2,1.1,no
35,basic.9y,no,no,no,6,1.4,no
51,basic.4y,unknown,no,no,2,1.1,no
31,high.school,no,yes,no,1,-1.8,no
30,university.degree,no,yes,no,3,-1.8,no
36,basic.4y,unknown,yes,no,1,1.1,no
32,basic.9y,no,no,no,2,1.4,no
41,unknown,no,no,no,3,1.1,no
42,professional.course,no,no,no,1,-1.8,no
49,high.school,unknown,no,no,4,1.4,no
31,professional.course,no,no,no,1,-0.1,no
47,university.degree,no,yes,no,2,-2.9,no
53,basic.4y,unknown,yes,no,5,1.4,no
31,basic.6y,unknown,yes,no,2,-1.8,no
37,professional.course,no,no,no,1,-0.1,no
66,professional.course,no,yes,yes,4,-1.8,no
35,high.school,no,yes,no,1,-1.8,no
41,basic.6y,no,no,no,1,-0.1,no
36,high.school,unknown,no,no,3,1.4,no
36,basic.9y,no,yes,no,1,-1.8,no
30,professional.course,no,yes,no,4,1.4,no
49,high.school,no,no,no,2,1.4,no
28,unknown,no,no,no,2,1.1,no
42,basic.9y,no,yes,no,1,1.4,no
40,university.degree,no,yes,no,1,1.4,no
44,basic.4y,no,unknown,unknown,1,-1.8,no
35,basic.9y,no,yes,no,2,-1.8,no
30,professional.course,no,yes,no,2,1.4,no
36,university.degree,no,yes,no,2,-1.8,no
37,high.school,unknown,no,yes,1,1.1,no
28,basic.9y,no,yes,no,2,-1.8,no
56,university.degree,no,yes,no,3,-2.9,no
40,university.degree,no,no,no,2,1.4,no
57,professional.course,no,yes,no,1,-0.1,no
27,basic.9y,unknown,yes,no,2,1.1,no
29,university.degree,no,no,no,1,-0.1,no
51,professional.course,no,no,no,1,1.1,no
52,basic.6y,no,yes,no,2,-1.8,no
54,high.school,unknown,no,no,5,-1.8,no
41,basic.9y,no,no,yes,1,-1.8,no
57,professional.course,no,yes,no,1,1.4,no
34,university.degree,no,yes,no,1,-1.8,no
28,high.school,no,yes,yes,1,1.4,no
56,basic.4y,unknown,yes,no,10,1.1,no
39,basic.6y,no,yes,no,1,1.4,no
57,university.degree,unknown,yes,yes,2,1.4,no
49,high.school,no,yes,no,1,1.4,no
29,high.school,no,yes,no,2,1.4,no
44,university.degree,no,yes,no,1,-0.1,no
38,basic.9y,unknown,no,no,2,1.1,no
53,basic.6y,unknown,no,no,1,1.4,no
25,high.school,no,no,no,2,-2.9,no
39,basic.9y,unknown,no,no,1,-1.8,no
35,basic.6y,no,no,no,1,1.1,no
51,high.school,no,no,no,4,-1.8,no
34,basic.9y,no,no,no,1,-0.1,no
46,professional.course,no,no,no,1,-2.9,no
53,university.degree,no,yes,no,1,-1.8,no
39,basic.4y,unknown,yes,no,3,1.4,no
35,high.school,no,no,no,3,1.4,no
33,basic.4y,no,yes,no,3,-1.8,no
32,university.degree,no,no,no,3,1.4,no
